Title,Keyword,Keyword_code,Keyword_ID,Position,Previous position,Search Volume,CPC,Traffic,Traffic (%),Traffic Cost,Traffic Cost (%),Competition,Number of Results,Trends,Last Seen,Keyword Difficulty,Cluster
PMP® Certification | Confidently Ace The PMP Exam,best course for pmp,pmp,1,4,4,30,10.26,0,0.0,0,0.0,0.24,15600000,"[0,55,22,100,22,22,44,22,22,22,22,22]",2024-12-31,39.0,0
PMP® Course | Confidently Ace The PMP Exam,best pmp prep course,pmp,1,6,6,170,8.4,0,0.0,0,0.0,0.52,1260000,"[28,28,53,43,43,35,35,28,82,43,100,28]",2024-12-31,32.0,0
PMP® Certification | Ace PMP Exam in 1st Attempt,certificado de gestion de proyectos - pmp,pmp,1,1,1,40,7.08,1,0.0,7,0.01,0.53,80600000,"[22,22,44,22,22,22,22,77,100,22,22,100]",2025-01-13,18.0,0
PMP® Certification Training | Flat 40% Off - Enroll Now,cheap pmp certification,pmp,1,1,1,90,5.98,4,0.02,23,0.03,0.46,40900000,"[41,41,41,52,52,52,64,64,52,64,82,82]",2025-01-18,25.0,0
PMP® Certification Course,duration of pmp course,pmp,1,2,2,50,2.61,0,0.0,0,0.0,0.24,21900000,"[18,81,18,18,81,18,18,18,100,18,100,18]",2025-01-22,46.0,0
PMP® Certification Training | Flat 40% Off - Enroll Now,how much does it cost to do pmp-acp,pmp,1,4,4,390,0.0,2,0.01,0,0.0,0.0,1910000,"[100,0,0,0,0,0,0]",2025-01-05,22.0,0
PMP® Certification Course | Ace PMP Exam in 1st Attempt,how to get pmp certification,pmp,1,4,4,1900,3.92,13,0.06,50,0.07,0.69,39400000,"[65,55,65,65,65,44,55,100,65,55,65,65]",2025-01-15,46.0,0
PMP® Certification Course,how to get project management certification - pmp,pmp,1,3,3,390,7.37,3,0.01,22,0.03,0.72,375000000,"[66,100,81,54,81,66,28,100,81,81,81,66]",2025-01-21,56.0,1
PMP® Certification Training | Ace PMP Exam in 1st Attempt,how to prepare for pmp certification,pmp,1,1,1,110,3.07,5,0.02,15,0.02,0.4,10200000,"[52,100,64,52,82,64,64,82,64,64,64,82]",2025-01-13,33.0,0
PMP® Certification Course,how to prepare for pmp certification,pmp,1,5,5,110,3.07,0,0.0,0,0.0,0.4,10200000,"[52,100,64,52,82,64,64,82,64,64,64,82]",2025-01-13,33.0,0
PMP® Exam & Certification | Ace PMP Exam in 1st Attempt,how to register for pmp exam,pmp,1,2,2,70,3.18,0,0.0,0,0.0,0.45,19900000,"[55,77,100,77,100,77,77,77,100,100,100,100]",2025-01-15,18.0,0
PMP® Certification Course | Flat 40% Off - Enroll Now,it project manager certification - pmp,pmp,1,5,5,140,7.25,0,0.0,0,0.0,0.51,262000000,"[34,53,43,53,34,43,100,34,43,28,28,34]",2024-12-29,45.0,0
PMP® Certification | Flat 40% Off - Enroll Now,online pmp certification training,pmp,1,1,1,50,11.09,2,0.01,22,0.03,0.48,7540000,"[21,21,28,7,28,100,78,28,35,0,35,0]",2024-12-27,57.0,1
PMI Certified PMP® Training | Ace PMP Exam in 1st Attempt,pmi certification - pmp,pmp,1,1,1,5400,3.35,253,1.35,847,1.3,0.59,48200000,"[44,66,54,54,54,54,44,54,54,81,100,44]",2025-01-22,45.0,0
PMP® Exam & Certification | Confidently Ace The PMP Exam,pmi exam prep - pmp,pmp,1,4,4,140,5.36,0,0.0,0,0.0,0.66,5700000,"[3,2,1,1,0,100,0,0,3,13,3,0]",2024-12-31,56.0,1
PMP® Exam & Certification | Ace PMP Exam in 1st Attempt,pmi pmp certification,pmp,1,2,2,720,3.98,9,0.04,35,0.05,0.57,8920000,"[45,55,24,62,55,45,30,55,62,36,55,36]",2025-01-13,70.0,1
PMI Certified PMP® Training | Flat 40% Off - Enroll Now,pmi project management course - pmp,pmp,1,3,3,210,4.57,1,0.0,4,0.0,0.48,25400000,"[28,28,18,28,35,100,44,35,35,35,35,44]",2024-12-28,62.0,1
PMP® Exam & Certification | Ace PMP Exam in 1st Attempt,pmp certificaiton,pmp,1,2,2,140,3.38,1,0.0,3,0.0,0.62,200000000,"[0,15,100,1,54,2,15,4,2,2,2,36]",2025-01-12,77.0,1
